SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
5	1	1	1	46003	626	0.70221080060582607985	0	1	1410.0942869990831241	0	NaN	NaN	0	1	1	0	1	0
5	1	1	2	5737	5013	0.70225713413674384356	0	1	497.39211599808186293	0	NaN	NaN	0	1	1	0	1	0
5	1	1	3	9204	4850	0.70230337872635573149	0	1	602.58765499747823924	0	NaN	NaN	0	1	1	0	1	0
5	1	1	4	33363	8823	0.70234972808975726366	0	1	432.51378899731207639	0	NaN	NaN	0	1	1	0	1	0
5	1	1	5	64487	9538	0.70239596394822001457	0	1	552.8973930049687624	0	NaN	NaN	0	1	1	0	1	0
5	1	1	6	46788	6061	0.70244233089033514261	0	1	534.00412999326363206	0	NaN	NaN	0	1	1	0	1	0
5	1	1	7	49200	4421	0.70248856255784630775	0	1	541.67023100308142602	0	NaN	NaN	0	1	1	0	1	0
5	1	1	8	36387	3858	0.70253486442379653454	0	1	539.05069800384808332	0	NaN	NaN	0	1	1	0	1	0
5	1	1	9	28377	8124	0.70258114475291222334	0	1	446.96844099962618202	0	NaN	NaN	0	1	1	0	1	0
5	1	1	10	22988	4843	0.70262744894716888666	0	1	544.83735600661020726	0	NaN	NaN	0	1	1	0	1	0
5	1	1	11	25602	7941	0.70267373661044985056	0	1	1131.1897020059404895	0	NaN	NaN	0	1	1	0	1	0
5	1	1	12	50992	4523	0.70272003940772265196	0	1	865.41205299727153033	0	NaN	NaN	0	1	1	0	1	0
5	1	1	13	14726	1070	0.70281262334901839495	0	1	701.71970299270469695	0	NaN	NaN	0	1	1	0	1	0
5	1	1	14	63354	9588	0.7028589185792952776	0	1	510.04325499525293708	0	NaN	NaN	0	1	1	0	1	0
5	1	1	15	15072	4623	0.70290520880371332169	0	1	632.94265000149607658	0	NaN	NaN	0	1	1	0	1	0
